No,Center,Length,Width,Diagonal,Energy,Entropy,Mean,Median
204,"1042,193",17 px,11 px,20 px,19.025,5.84,109,76
205,"737,197",23 px,15 px,27 px,29.275,6.2,103,78
206,"1079,196",21 px,9 px,22 px,18.106,6.47,119,111
207,"865,195",18 px,15 px,23 px,22.756,5.65,99,119
208,"894,195",18 px,14 px,22 px,22.109,5.67,96,73
209,"234,196",14 px,13 px,19 px,15.891,5.82,104,72
210,"248,195",9 px,9 px,12 px,9.011,5.94,130,114
211,"879,197",9 px,8 px,12 px,7.091,5.96,134,134
212,"1059,196",9 px,8 px,12 px,6.866,5.58,121,102
213,"269,199",10 px,10 px,14 px,10.459,5.85,132,114
214,"700,200",9 px,9 px,12 px,8.076,5.78,131,134
215,"281,201",7 px,8 px,10 px,6.589,5.03,125,125
216,"140,202",8 px,9 px,12 px,7.402,5.7,135,133
217,"973,204",11 px,10 px,14 px,12.31,5.97,125,97
218,"1097,203",9 px,9 px,12 px,7.78,5.67,118,120
219,"1107,208",19 px,14 px,23 px,16.928,5.26,90,86
220,"762,208",13 px,14 px,19 px,17.195,5.79,103,73
221,"166,206",9 px,9 px,12 px,9.014,5.71,124,105
222,"256,221",40 px,21 px,45 px,47.198,4.58,64,63
223,"336,207",10 px,10 px,14 px,9.645,5.78,117,76
224,"481,211",15 px,18 px,23 px,22.711,4.27,114,157
225,"210,212",15 px,10 px,18 px,15.115,5.87,113,74
226,"291,209",10 px,8 px,12 px,7.472,5.84,123,116
227,"658,215",20 px,22 px,29 px,29.152,5.02,78,67
228,"989,213",17 px,16 px,23 px,21.267,5.51,90,75
229,"1128,209",10 px,12 px,15 px,12.834,6.03,122,95
230,"456,210",7 px,8 px,10 px,7.176,3.49,166,166
231,"154,212",10 px,10 px,14 px,9.427,5.81,124,131
232,"277,214",15 px,18 px,23 px,21.671,5.44,92,70
233,"43,219",22 px,14 px,26 px,22.716,5.52,89,72
234,"513,215",7 px,8 px,10 px,6.805,3.84,162,163
235,"524,216",8 px,7 px,10 px,5.605,3.28,164,164
236,"173,218",11 px,9 px,14 px,10.521,6.08,129,133
237,"1059,217",8 px,10 px,12 px,8.49,5.53,124,122
238,"68,228",26 px,31 px,40 px,41.28,4.26,61,0
239,"233,221",11 px,10 px,14 px,10.368,6.1,125,121
240,"718,220",10 px,9 px,13 px,9.13,5.96,117,99
241,"848,219",9 px,9 px,12 px,7.973,5.79,132,129
242,"1147,220",10 px,5 px,11 px,3.366,5.16,123,106
243,"412,221",7 px,7 px,9 px,5.462,5.22,127,128
244,"778,225",16 px,16 px,22 px,20.57,5.6,94,71
245,"822,224",10 px,9 px,13 px,8.522,5.77,123,94
246,"206,227",14 px,13 px,19 px,16.061,5.9,110,92
247,"613,227",12 px,11 px,16 px,12.313,4.47,128,161
248,"742,225",7 px,7 px,9 px,4.561,5.31,134,132
249,"530,229",13 px,8 px,15 px,12.413,4.5,153,159
250,"1043,226",8 px,8 px,11 px,5.918,5.56,124,105
251,"325,227",9 px,9 px,12 px,8.23,5.71,122,113
252,"376,230",14 px,15 px,20 px,19.301,5.63,98,70
253,"284,232",16 px,13 px,20 px,17.023,5.73,96,75
254,"836,233",21 px,16 px,26 px,26.876,5.6,90,70
255,"120,233",17 px,20 px,26 px,26.3,5.55,91,70
256,"1018,229",7 px,7 px,9 px,5.597,5.49,152,157
257,"304,238",21 px,15 px,25 px,24.356,5.42,84,70
258,"394,233",11 px,9 px,14 px,10.714,5.89,122,96
259,"883,231",7 px,8 px,10 px,5.836,5.41,124,110
260,"893,232",7 px,7 px,9 px,5.221,5.49,142,149
261,"139,247",27 px,23 px,35 px,45.156,5.44,80,69
262,"1073,237",11 px,11 px,15 px,11.496,5.71,103,76
263,"439,237",8 px,8 px,11 px,6.554,5.55,134,120
264,"406,239",7 px,8 px,10 px,5.533,5.25,123,117
265,"788,239",8 px,11 px,13 px,10.008,5.7,120,112
266,"425,243",11 px,14 px,17 px,14.03,5.89,116,77
267,"454,246",20 px,18 px,26 px,23.323,4.62,72,65
268,"880,241",8 px,8 px,11 px,6.91,5.52,138,122
269,"1088,243",10 px,11 px,14 px,10.072,6.01,131,137
270,"22,245",12 px,13 px,17 px,12.694,5.95,113,111
271,"324,245",13 px,15 px,19 px,16.899,6.03,102,76
272,"86,247",8 px,8 px,11 px,6.571,5.45,126,106
273,"100,249",12 px,11 px,16 px,13.226,6.18,120,106
274,"906,247",7 px,8 px,10 px,5.906,5.35,122,111
275,"925,251",9 px,9 px,12 px,8.65,5.64,124,94
276,"1117,250",7 px,8 px,10 px,4.969,5.42,126,123
277,"824,252",7 px,7 px,9 px,5.774,5.41,131,130
278,"996,252",9 px,10 px,13 px,9.433,5.86,122,113
279,"353,254",8 px,9 px,12 px,7.421,5.69,126,116
280,"373,254",7 px,7 px,9 px,5.676,5.37,134,136
281,"228,257",11 px,10 px,14 px,10.582,5.74,121,99
282,"496,264",26 px,21 px,33 px,37.097,4.98,76,67
283,"883,260",7 px,8 px,10 px,4.395,5.49,136,145
284,"546,266",20 px,17 px,26 px,28.252,5.45,87,71
285,"918,262",11 px,10 px,14 px,9.756,5.75,116,82
286,"24,266",14 px,15 px,20 px,18.262,5.72,97,85
287,"57,265",15 px,15 px,21 px,15.439,5.28,84,68
288,"251,267",18 px,15 px,23 px,13.975,4.29,65,60
289,"856,262",8 px,8 px,11 px,6.074,5.48,127,113
290,"465,265",10 px,10 px,14 px,9.887,5.72,118,99
291,"88,275",27 px,14 px,30 px,26.05,5.24,79,68
292,"409,267",12 px,9 px,15 px,9.566,5.99,124,117
293,"434,266",9 px,9 px,12 px,9.371,5.96,129,134
294,"941,266",10 px,10 px,14 px,9.524,5.78,123,111
295,"123,269",14 px,10 px,17 px,14.029,5.91,115,81
296,"193,267",9 px,9 px,12 px,7.155,5.83,121,117
297,"381,268",10 px,8 px,12 px,8.425,5.43,119,108
298,"452,268",10 px,10 px,14 px,9.124,5.93,121,122
299,"298,269",7 px,7 px,9 px,4.654,5.23,135,136
300,"1044,272",9 px,8 px,12 px,7.59,5.58,122,111
301,"901,274",9 px,25 px,26 px,21.633,6.32,117,118
302,"245,274",7 px,7 px,9 px,4.782,5.33,139,143
303,"102,275",9 px,9 px,12 px,8.658,5.72,127,109
304,"922,277",9 px,10 px,13 px,8.444,5.9,126,129
305,"661,280",12 px,10 px,15 px,12.815,5.99,122,108
306,"1029,278",7 px,8 px,10 px,6.148,5.49,129,133
307,"449,280",10 px,9 px,13 px,9.907,5.8,131,136
308,"957,279",8 px,7 px,10 px,6.098,5.49,134,132
309,"412,280",8 px,8 px,11 px,7.032,5.55,138,150
310,"469,286",20 px,25 px,32 px,28.948,4.65,69,65
311,"114,281",7 px,7 px,9 px,5.178,5.13,117,101
312,"620,286",19 px,22 px,29 px,32.72,5.49,84,69
313,"140,287",18 px,13 px,22 px,17.672,5.6,100,70
314,"246,283",10 px,10 px,14 px,10.389,5.98,119,114
315,"154,291",24 px,15 px,28 px,27.418,5.63,90,74
316,"312,291",18 px,28 px,33 px,36.09,5.27,79,68
317,"501,287",9 px,9 px,12 px,8.707,5.65,127,109
318,"174,288",7 px,7 px,9 px,5.174,5.4,129,126
319,"688,289",9 px,7 px,11 px,6.197,5.64,129,127
320,"980,289",11 px,11 px,15 px,11.241,5.85,117,115
321,"522,290",11 px,10 px,14 px,11.752,5.95,124,103
322,"1010,296",20 px,13 px,23 px,19.717,5.49,90,72
323,"1037,291",10 px,10 px,14 px,10.24,6.03,124,85
324,"1132,291",9 px,8 px,12 px,7.595,5.77,133,129
325,"585,292",7 px,7 px,9 px,5.068,5.37,137,143
326,"665,295",11 px,10 px,14 px,9.603,5.86,127,122
327,"1145,294",10 px,9 px,13 px,8.865,5.89,125,104
328,"542,295",7 px,7 px,9 px,5.176,5.35,143,154
329,"208,303",20 px,54 px,57 px,69.059,5.17,73,68
330,"435,298",7 px,7 px,9 px,5.307,5.53,141,137
331,"568,305",22 px,12 px,25 px,23.484,6.16,105,93
332,"174,300",9 px,10 px,13 px,8.794,5.91,129,134
333,"587,301",9 px,15 px,17 px,12.41,6.07,117,103
334,"1043,304",15 px,12 px,19 px,16.196,5.7,105,74
335,"622,304",11 px,9 px,14 px,10.721,5.86,125,102
336,"393,313",24 px,24 px,33 px,32.056,4.45,63,63
337,"298,308",12 px,9 px,15 px,9.826,5.94,116,94
338,"665,307",11 px,18 px,21 px,17.552,6.11,112,98
